Ps,Us,lamudas,Bs
0.0016549049542201866,41015593.32493055,0.1416769592301532,0.0016649049542201866
0.00029084065664035667,52210298.91587152,0.8404850621984881,0.0003008406566403567
0.00032264146401787147,55391261.54131494,0.7584991265970817,0.0003326414640178715
0.0009358661354688895,51758571.5436688,0.2599676452246332,0.0009458661354688895
0.0004951250036415867,58513828.899532884,0.4955263853501021,0.0005051250036415867
0.0005445685060957833,58108889.53367895,0.4505012434929634,0.0005545685060957833
0.00037785751658911144,57799575.352783136,0.6485611132683077,0.00038785751658911146
0.00031246228618349927,54597038.99853026,0.782948884112803,0.0003224622861834993
0.0022066443262819227,35208455.4799224,0.10198239503875019,0.0022166443262819227
0.004534040297762485,22255830.65000639,0.037780526991566185,0.004544040297762485
0.00029489929973686206,52753502.09545585,0.8290498018414723,0.0003048992997368621
0.0005650642436298165,57879961.86725529,0.4341117265469523,0.0005750642436298165
0.0003232720604729149,55435382.48276558,0.7570344808087831,0.00033327206047291494
0.007349345094517189,15904127.44006855,0.01206393228408848,0.007359345094517189
0.0005494612927001667,58056952.65294048,0.4464794501737054,0.0005594612927001668
0.00034145062126641985,56502873.07506846,0.7171092316939669,0.0003514506212664199
0.001035034044218257,50047525.72438918,0.2341869768450436,0.0010450340442182571
0.00026070912758607373,45130058.65886721,0.9363652816428438,0.00027070912758607376
0.0002734121415857898,49049076.414851315,0.8933989084592538,0.00028341214158578983
0.004383859049484077,22778706.91074499,0.03997818337288247,0.0043938590494840765
0.004742891052804801,21571918.163086426,0.034936943773591585,0.004752891052804801
0.0004537778379043422,58621078.23524392,0.5405842233376267,0.0004637778379043422
0.0002624122593266329,45799521.91552465,0.9303661795229403,0.0002724122593266329
0.0006390162970539276,56863098.31185558,0.3835801529344482,0.0006490162970539277
0.0010881403644512953,49156628.95986309,0.2222674091880011,0.0010981403644512954
0.0005789259956936914,57709674.21458019,0.42367424407106297,0.0005889259956936915
0.004486612607992093,22418029.68725719,0.03845997182337058,0.004496612607992093
0.0010652738199578603,49537804.11998351,0.22725783294757435,0.0010752738199578604
0.000558629606566877,57954958.26546592,0.4391298417775606,0.000568629606566877
0.0004947556979551378,58515874.98606369,0.4958959965542136,0.0005047556979551379
0.001017359173559308,50348283.24756061,0.23842276125242118,0.001027359173559308
0.0010263547144405984,50194961.464748316,0.2362492107101646,0.0010363547144405984
0.0010782278709167942,49321403.38726247,0.22440541659093485,0.0010882278709167942
0.0005328702892041095,58225436.013868146,0.4604113964229789,0.0005428702892041095
0.0008303417887312835,53621503.39917227,0.29398598229867584,0.0008403417887312835
0.005057510481165251,20627098.911317587,0.031059911160590696,0.005067510481165251
0.0002942614146075008,52671669.20061269,0.8308264161493214,0.00030426141460750084
0.00044169021348422813,58596387.13096541,0.5553252361993848,0.00045169021348422816
0.00038328175566705683,57925576.42266317,0.6394484756737967,0.00039328175566705686
0.001249056624647975,46587398.73359288,0.19218814057682335,0.001259056624647975
0.00024825781260704913,36232362.321898624,0.9826925439325438,0.00025825781260704916
0.0002866092363081732,51581106.61173272,0.8527475982193841,0.0002966092363081732
0.001806307097741302,39242598.53511692,0.12847216060969027,0.0018163070977413021
0.0007282714049186859,55406870.903891936,0.3360412816529265,0.0007382714049186859
0.0003414768204287754,56504162.24265195,0.717054719431603,0.0003514768204287754
0.0003463938948765796,56735274.43082997,0.7069679343013741,0.0003563938948765796
0.0002631728722766778,46079502.54951209,0.9277117750634705,0.00027317287227667783
0.0005789387592293486,57709512.26316326,0.4236648599621869,0.0005889387592293487
0.00029693335089492004,53006257.222119726,0.8234349794088405,0.00030693335089492006
0.0003673883520076755,57513914.60222836,0.6668994550857896,0.00037738835200767554
0.0007951248838893716,54243696.96729667,0.3073011407142593,0.0008051248838893716
0.0004185895599350293,58456103.20261428,0.5858289940206882,0.00042858955993502933
0.00027928844506755886,50303658.637234665,0.8748294208152205,0.0002892884450675589
0.00029126544598045506,52269752.2521572,0.8392734700597465,0.0003012654459804551
0.00048565586848566526,58560762.11110149,0.5051781441680084,0.0004956558684856652
0.00041759123821407545,58446873.073256604,0.5872222128229007,0.0004275912382140755
0.004141321190509164,23683759.776476506,0.043835313548314755,0.0041513211905091635
0.0009799257104846006,50991624.95403588,0.24788517407220628,0.0009899257104846006
0.0003090676056014966,54293399.80020975,0.7914561626032168,0.0003190676056014966
0.0005895128950344871,57572321.8332781,0.4160277193147588,0.0005995128950344871
0.0013313074283627581,45354225.734757096,0.17954725354746992,0.0013413074283627582
0.00044776184290645587,58612522.33059138,0.5478227861603899,0.0004577618429064559
0.00035038812042299545,56908001.18535217,0.6989799468243189,0.0003603881204229955
0.00036512736608513034,57444162.915342025,0.6709961138922806,0.00037512736608513036
0.0006497102223053956,56698292.27705349,0.3772089600916075,0.0006597102223053956
